,Crop,Soil,Temperature,Soil_Texture,Soil_Colour,Drainage,Water_holding_capacity,Sunlight,Yield
1758,Tomato,Alluvial,7,Loamy,Brown,Medium,Medium,low,Good
1759,Chilli,Red,7,Sandy,Red,High,Low,low,Poor
1760,Tomato,Red,7,Sandy,Red,High,Low,low,Good
1761,Potato,Red,7,Sandy,Red,High,Low,low,Average
1762,Chilli,Alluvial,7,Loamy,Brown,Medium,Medium,low,Good
1763,Tomato,Alluvial,7,Loamy,Brown,Medium,Medium,low,Good
1764,Chilli,Red,7,Sandy,Red,High,Low,low,Poor
1765,Tomato,Red,7,Sandy,Red,High,Low,low,Good
1766,Potato,Red,7,Sandy,Red,High,Low,low,Average
1767,Chilli,Alluvial,7,Loamy,Brown,Medium,Medium,low,Good
1768,Tomato,Alluvial,7,Loamy,Brown,Medium,Medium,low,Good
1769,Chilli,Red,8,Sandy,Red,High,Low,low,Poor
1770,Tomato,Red,8,Sandy,Red,High,Low,low,Good
1771,Potato,Red,8,Sandy,Red,High,Low,low,Average
1772,Chilli,Alluvial,8,Loamy,Brown,Medium,Medium,low,Good
1773,Tomato,Alluvial,8,Loamy,Brown,Medium,Medium,low,Good
1774,Chilli,Red,8,Sandy,Red,High,Low,low,Poor
1775,Tomato,Red,8,Sandy,Red,High,Low,low,Good
1776,Potato,Red,8,Sandy,Red,High,Low,low,Average
1777,Chilli,Alluvial,8,Loamy,Brown,Medium,Medium,low,Good
1778,Tomato,Alluvial,8,Loamy,Brown,Medium,Medium,low,Good
1779,Chilli,Red,8,Sandy,Red,High,Low,low,Poor
1780,Tomato,Red,8,Sandy,Red,High,Low,low,Good
1781,Potato,Red,8,Sandy,Red,High,Low,low,Average
1782,Chilli,Alluvial,8,Loamy,Brown,Medium,Medium,low,Good
1783,Tomato,Alluvial,8,Loamy,Brown,Medium,Medium,low,Good
1784,Chilli,Red,8,Sandy,Red,High,Low,low,Poor
1785,Tomato,Red,8,Sandy,Red,High,Low,low,Good
1786,Potato,Red,8,Sandy,Red,High,Low,low,Average
1787,Chilli,Alluvial,8,Loamy,Brown,Medium,Medium,low,Good
1788,Tomato,Alluvial,8,Loamy,Brown,Medium,Medium,low,Good
1789,Chilli,Red,8,Sandy,Red,High,Low,low,Poor
1790,Tomato,Red,8,Sandy,Red,High,Low,low,Good
1791,Potato,Red,8,Sandy,Red,High,Low,low,Average
1792,Chilli,Alluvial,8,Loamy,Brown,Medium,Medium,low,Good
1793,Tomato,Alluvial,8,Loamy,Brown,Medium,Medium,low,Good
1794,Chilli,Red,8,Sandy,Red,High,Low,low,Poor
1795,Tomato,Red,8,Sandy,Red,High,Low,low,Good
1796,Potato,Red,8,Sandy,Red,High,Low,low,Average
1797,Chilli,Alluvial,8,Loamy,Brown,Medium,Medium,low,Good
1798,Tomato,Alluvial,8,Loamy,Brown,Medium,Medium,low,Good
1799,Chilli,Red,8,Sandy,Red,High,Low,low,Poor
1800,Tomato,Red,8,Sandy,Red,High,Low,low,Good
1801,Potato,Red,8,Sandy,Red,High,Low,low,Average
1802,Chilli,Alluvial,8,Loamy,Brown,Medium,Medium,low,Good
1803,Tomato,Alluvial,8,Loamy,Brown,Medium,Medium,low,Good
1804,Chilli,Red,8,Sandy,Red,High,Low,low,Poor
1805,Tomato,Red,8,Sandy,Red,High,Low,low,Good
1806,Potato,Red,8,Sandy,Red,High,Low,low,Average
1807,Chilli,Alluvial,8,Loamy,Brown,Medium,Medium,low,Good
1808,Tomato,Alluvial,8,Loamy,Brown,Medium,Medium,low,Good
1809,Chilli,Red,8,Sandy,Red,High,Low,low,Poor
1810,Tomato,Red,8,Sandy,Red,High,Low,low,Good
1811,Potato,Red,8,Sandy,Red,High,Low,low,Average
1812,Chilli,Alluvial,8,Loamy,Brown,Medium,Medium,low,Good
1813,Tomato,Alluvial,8,Loamy,Brown,Medium,Medium,low,Good
1814,Chilli,Red,8,Sandy,Red,High,Low,low,Poor
1815,Tomato,Red,8,Sandy,Red,High,Low,low,Good
1816,Potato,Red,8,Sandy,Red,High,Low,low,Average
1817,Chilli,Alluvial,8,Loamy,Brown,Medium,Medium,low,Good
1818,Tomato,Alluvial,8,Loamy,Brown,Medium,Medium,low,Good
1819,Chilli,Red,10,Sandy,Red,High,Low,low,Poor
1820,Tomato,Red,10,Sandy,Red,High,Low,low,Good
1821,Potato,Red,10,Sandy,Red,High,Low,low,Average
1822,Chilli,Alluvial,10,Loamy,Brown,Medium,Medium,low,Good
1823,Tomato,Alluvial,10,Loamy,Brown,Medium,Medium,low,Good
1824,Chilli,Red,10,Sandy,Red,High,Low,low,Poor
1825,Tomato,Red,10,Sandy,Red,High,Low,low,Good
1826,Potato,Red,10,Sandy,Red,High,Low,low,Average
1827,Chilli,Alluvial,10,Loamy,Brown,Medium,Medium,low,Good
1828,Tomato,Alluvial,10,Loamy,Brown,Medium,Medium,low,Good
1829,Chilli,Red,10,Sandy,Red,High,Low,low,Poor
1830,Tomato,Red,10,Sandy,Red,High,Low,low,Good
1831,Potato,Red,10,Sandy,Red,High,Low,low,Average
1832,Chilli,Alluvial,10,Loamy,Brown,Medium,Medium,low,Good
1833,Tomato,Alluvial,10,Loamy,Brown,Medium,Medium,low,Good
1834,Chilli,Red,10,Sandy,Red,High,Low,low,Poor
1835,Tomato,Red,10,Sandy,Red,High,Low,low,Good
1836,Potato,Red,10,Sandy,Red,High,Low,low,Average
1837,Chilli,Alluvial,10,Loamy,Brown,Medium,Medium,low,Good
1838,Tomato,Alluvial,10,Loamy,Brown,Medium,Medium,low,Good
1839,Chilli,Red,10,Sandy,Red,High,Low,low,Poor
1840,Tomato,Red,10,Sandy,Red,High,Low,low,Good
1841,Potato,Red,10,Sandy,Red,High,Low,low,Average
1842,Chilli,Alluvial,10,Loamy,Brown,Medium,Medium,low,Good
1843,Tomato,Alluvial,10,Loamy,Brown,Medium,Medium,low,Good
1844,Chilli,Red,10,Sandy,Red,High,Low,low,Poor
1845,Tomato,Red,10,Sandy,Red,High,Low,low,Good
1846,Potato,Red,10,Sandy,Red,High,Low,low,Average
1847,Chilli,Alluvial,10,Loamy,Brown,Medium,Medium,low,Good
1848,Tomato,Alluvial,10,Loamy,Brown,Medium,Medium,low,Good
1849,Chilli,Red,10,Sandy,Red,High,Low,low,Poor
1850,Tomato,Red,10,Sandy,Red,High,Low,low,Good
1851,Potato,Red,10,Sandy,Red,High,Low,low,Average
1852,Chilli,Alluvial,10,Loamy,Brown,Medium,Medium,low,Good
1853,Tomato,Alluvial,10,Loamy,Brown,Medium,Medium,low,Good
1854,Chilli,Red,10,Sandy,Red,High,Low,low,Poor
1855,Tomato,Red,10,Sandy,Red,High,Low,low,Good
1856,Potato,Red,10,Sandy,Red,High,Low,low,Average
1857,Chilli,Alluvial,10,Loamy,Brown,Medium,Medium,low,Good
1858,Tomato,Alluvial,10,Loamy,Brown,Medium,Medium,low,Good
1859,Chilli,Red,10,Sandy,Red,High,Low,low,Poor
1860,Tomato,Red,10,Sandy,Red,High,Low,low,Good
1861,Potato,Red,10,Sandy,Red,High,Low,low,Average
1862,Chilli,Alluvial,10,Loamy,Brown,Medium,Medium,low,Good
1863,Tomato,Alluvial,10,Loamy,Brown,Medium,Medium,low,Good
1864,Chilli,Red,10,Sandy,Red,High,Low,low,Poor
1865,Tomato,Red,10,Sandy,Red,High,Low,low,Good
1866,Potato,Red,10,Sandy,Red,High,Low,low,Average
1867,Chilli,Alluvial,10,Loamy,Brown,Medium,Medium,low,Good
1868,Tomato,Alluvial,10,Loamy,Brown,Medium,Medium,low,Good
1869,Chilli,Red,9,Sandy,Red,High,Low,low,Poor
1870,Tomato,Red,9,Sandy,Red,High,Low,low,Good
1871,Potato,Red,9,Sandy,Red,High,Low,low,Average
1872,Chilli,Alluvial,9,Loamy,Brown,Medium,Medium,low,Good
1873,Tomato,Alluvial,9,Loamy,Brown,Medium,Medium,low,Good
1874,Chilli,Red,9,Sandy,Red,High,Low,low,Poor
1875,Tomato,Red,9,Sandy,Red,High,Low,low,Good
1876,Potato,Red,9,Sandy,Red,High,Low,low,Average
1877,Chilli,Alluvial,9,Loamy,Brown,Medium,Medium,low,Good
1878,Tomato,Alluvial,9,Loamy,Brown,Medium,Medium,low,Good
1879,Chilli,Red,9,Sandy,Red,High,Low,low,Poor
1880,Tomato,Red,9,Sandy,Red,High,Low,low,Good
1881,Potato,Red,9,Sandy,Red,High,Low,low,Average
1882,Chilli,Alluvial,9,Loamy,Brown,Medium,Medium,low,Good
1883,Tomato,Alluvial,9,Loamy,Brown,Medium,Medium,low,Good
1884,Chilli,Red,9,Sandy,Red,High,Low,low,Poor
1885,Tomato,Red,9,Sandy,Red,High,Low,low,Good
1886,Potato,Red,9,Sandy,Red,High,Low,low,Average
1887,Chilli,Alluvial,9,Loamy,Brown,Medium,Medium,low,Good
1888,Tomato,Alluvial,9,Loamy,Brown,Medium,Medium,low,Good
1889,Chilli,Red,9,Sandy,Red,High,Low,low,Poor
1890,Tomato,Red,9,Sandy,Red,High,Low,low,Good
1891,Potato,Red,9,Sandy,Red,High,Low,low,Average
1892,Chilli,Alluvial,9,Loamy,Brown,Medium,Medium,low,Good
1893,Tomato,Alluvial,9,Loamy,Brown,Medium,Medium,low,Good
1894,Chilli,Red,9,Sandy,Red,High,Low,low,Poor
1895,Tomato,Red,9,Sandy,Red,High,Low,low,Good
1896,Potato,Red,9,Sandy,Red,High,Low,low,Average
1897,Chilli,Alluvial,9,Loamy,Brown,Medium,Medium,low,Good
1898,Tomato,Alluvial,9,Loamy,Brown,Medium,Medium,low,Good
1899,Chilli,Red,9,Sandy,Red,High,Low,low,Poor
1900,Tomato,Red,9,Sandy,Red,High,Low,low,Good
1901,Potato,Red,9,Sandy,Red,High,Low,low,Average
1902,Chilli,Alluvial,9,Loamy,Brown,Medium,Medium,low,Good
1903,Tomato,Alluvial,9,Loamy,Brown,Medium,Medium,low,Good
1904,Chilli,Red,9,Sandy,Red,High,Low,low,Poor
1905,Tomato,Red,9,Sandy,Red,High,Low,low,Good
1906,Potato,Red,9,Sandy,Red,High,Low,low,Average
1907,Chilli,Alluvial,9,Loamy,Brown,Medium,Medium,low,Good
1908,Tomato,Alluvial,9,Loamy,Brown,Medium,Medium,low,Good
1909,Chilli,Red,9,Sandy,Red,High,Low,low,Poor
1910,Tomato,Red,9,Sandy,Red,High,Low,low,Good
1911,Potato,Red,9,Sandy,Red,High,Low,low,Average
1912,Chilli,Alluvial,9,Loamy,Brown,Medium,Medium,low,Good
1913,Tomato,Alluvial,9,Loamy,Brown,Medium,Medium,low,Good
1914,Chilli,Red,9,Sandy,Red,High,Low,low,Poor
1915,Tomato,Red,9,Sandy,Red,High,Low,low,Good
1916,Potato,Red,9,Sandy,Red,High,Low,low,Average
1917,Chilli,Alluvial,9,Loamy,Brown,Medium,Medium,low,Good
1918,Tomato,Alluvial,9,Loamy,Brown,Medium,Medium,low,Good
1919,Chilli,Red,10,Sandy,Red,High,Low,low,Poor
1920,Tomato,Red,10,Sandy,Red,High,Low,low,Good
1921,Potato,Red,10,Sandy,Red,High,Low,low,Average
1922,Chilli,Alluvial,10,Loamy,Brown,Medium,Medium,low,Good
1923,Tomato,Alluvial,10,Loamy,Brown,Medium,Medium,low,Good
1924,Chilli,Red,10,Sandy,Red,High,Low,low,Poor
1925,Tomato,Red,10,Sandy,Red,High,Low,low,Good
1926,Potato,Red,10,Sandy,Red,High,Low,low,Average
1927,Chilli,Alluvial,10,Loamy,Brown,Medium,Medium,low,Good
1928,Tomato,Alluvial,10,Loamy,Brown,Medium,Medium,low,Good
1929,Chilli,Red,10,Sandy,Red,High,Low,low,Poor
1930,Tomato,Red,10,Sandy,Red,High,Low,low,Good
1931,Potato,Red,10,Sandy,Red,High,Low,low,Average
1932,Chilli,Alluvial,10,Loamy,Brown,Medium,Medium,low,Good
1933,Tomato,Alluvial,10,Loamy,Brown,Medium,Medium,low,Good
1934,Chilli,Red,10,Sandy,Red,High,Low,low,Poor
1935,Tomato,Red,10,Sandy,Red,High,Low,low,Good
1936,Potato,Red,10,Sandy,Red,High,Low,low,Average
1937,Chilli,Alluvial,10,Loamy,Brown,Medium,Medium,low,Good
1938,Tomato,Alluvial,10,Loamy,Brown,Medium,Medium,low,Good
1939,Chilli,Red,10,Sandy,Red,High,Low,low,Poor
1940,Tomato,Red,10,Sandy,Red,High,Low,low,Good
1941,Potato,Red,10,Sandy,Red,High,Low,low,Average
1942,Chilli,Alluvial,10,Loamy,Brown,Medium,Medium,low,Good
1943,Tomato,Alluvial,10,Loamy,Brown,Medium,Medium,low,Good
1944,Chilli,Red,9,Sandy,Red,High,Low,low,Poor
1945,Tomato,Red,9,Sandy,Red,High,Low,low,Good
1946,Potato,Red,9,Sandy,Red,High,Low,low,Average
1947,Chilli,Alluvial,9,Loamy,Brown,Medium,Medium,low,Good
1948,Tomato,Alluvial,9,Loamy,Brown,Medium,Medium,low,Good
1949,Chilli,Red,9,Sandy,Red,High,Low,low,Poor
1950,Tomato,Red,9,Sandy,Red,High,Low,low,Good
1951,Potato,Red,9,Sandy,Red,High,Low,low,Average
1952,Chilli,Alluvial,9,Loamy,Brown,Medium,Medium,low,Good
1953,Tomato,Alluvial,9,Loamy,Brown,Medium,Medium,low,Good
1954,Chilli,Red,9,Sandy,Red,High,Low,low,Poor
1955,Tomato,Red,9,Sandy,Red,High,Low,low,Good
1956,Potato,Red,9,Sandy,Red,High,Low,low,Average
1957,Chilli,Alluvial,9,Loamy,Brown,Medium,Medium,low,Good
1958,Tomato,Alluvial,9,Loamy,Brown,Medium,Medium,low,Good
1959,Chilli,Red,9,Sandy,Red,High,Low,low,Poor
1960,Tomato,Red,9,Sandy,Red,High,Low,low,Good
1961,Potato,Red,9,Sandy,Red,High,Low,low,Average
1962,Chilli,Alluvial,9,Loamy,Brown,Medium,Medium,low,Good
1963,Tomato,Alluvial,9,Loamy,Brown,Medium,Medium,low,Good
1964,Chilli,Red,9,Sandy,Red,High,Low,low,Poor
1965,Tomato,Red,9,Sandy,Red,High,Low,low,Good
1966,Potato,Red,9,Sandy,Red,High,Low,low,Average
1967,Chilli,Alluvial,9,Loamy,Brown,Medium,Medium,low,Good
1968,Tomato,Alluvial,9,Loamy,Brown,Medium,Medium,low,Good
1969,Chilli,Red,10,Sandy,Red,High,Low,low,Poor
1970,Tomato,Red,10,Sandy,Red,High,Low,low,Good
1971,Potato,Red,10,Sandy,Red,High,Low,low,Average
1972,Chilli,Alluvial,10,Loamy,Brown,Medium,Medium,low,Good
1973,Tomato,Alluvial,10,Loamy,Brown,Medium,Medium,low,Good
1974,Chilli,Red,10,Sandy,Red,High,Low,low,Poor
1975,Tomato,Red,10,Sandy,Red,High,Low,low,Good
1976,Potato,Red,10,Sandy,Red,High,Low,low,Average
1977,Chilli,Alluvial,10,Loamy,Brown,Medium,Medium,low,Good
1978,Tomato,Alluvial,10,Loamy,Brown,Medium,Medium,low,Good
1979,Chilli,Red,10,Sandy,Red,High,Low,low,Poor
1980,Tomato,Red,10,Sandy,Red,High,Low,low,Good
1981,Potato,Red,10,Sandy,Red,High,Low,low,Average
1982,Chilli,Alluvial,10,Loamy,Brown,Medium,Medium,low,Good
1983,Tomato,Alluvial,10,Loamy,Brown,Medium,Medium,low,Good
1984,Chilli,Red,10,Sandy,Red,High,Low,low,Poor
1985,Tomato,Red,10,Sandy,Red,High,Low,low,Good
1986,Potato,Red,10,Sandy,Red,High,Low,low,Average
1987,Chilli,Alluvial,10,Loamy,Brown,Medium,Medium,low,Good
1988,Tomato,Alluvial,10,Loamy,Brown,Medium,Medium,low,Good
1989,Chilli,Red,10,Sandy,Red,High,Low,low,Poor
1990,Tomato,Red,10,Sandy,Red,High,Low,low,Good
1991,Potato,Red,10,Sandy,Red,High,Low,low,Average
1992,Chilli,Alluvial,10,Loamy,Brown,Medium,Medium,low,Good
1993,Tomato,Alluvial,10,Loamy,Brown,Medium,Medium,low,Good
1994,Chilli,Red,10,Sandy,Red,High,Low,low,Poor
1995,Tomato,Red,10,Sandy,Red,High,Low,low,Good
1996,Potato,Red,10,Sandy,Red,High,Low,low,Average
1997,Chilli,Alluvial,10,Loamy,Brown,Medium,Medium,low,Good
1998,Tomato,Alluvial,10,Loamy,Brown,Medium,Medium,low,Good
1999,Chilli,Red,10,Sandy,Red,High,Low,low,Poor
2000,Tomato,Red,10,Sandy,Red,High,Low,low,Good
2001,Potato,Red,10,Sandy,Red,High,Low,low,Average
2002,Chilli,Alluvial,10,Loamy,Brown,Medium,Medium,low,Good
2003,Tomato,Alluvial,10,Loamy,Brown,Medium,Medium,low,Good
2004,Chilli,Red,10,Sandy,Red,High,Low,low,Poor
2005,Tomato,Red,10,Sandy,Red,High,Low,low,Good
2006,Potato,Red,10,Sandy,Red,High,Low,low,Average
2007,Chilli,Alluvial,10,Loamy,Brown,Medium,Medium,low,Good
2008,Tomato,Alluvial,10,Loamy,Brown,Medium,Medium,low,Good
2009,Chilli,Red,10,Sandy,Red,High,Low,low,Poor
2010,Tomato,Red,10,Sandy,Red,High,Low,low,Good
2011,Potato,Red,10,Sandy,Red,High,Low,low,Average
2012,Chilli,Alluvial,10,Loamy,Brown,Medium,Medium,low,Good
2013,Tomato,Alluvial,10,Loamy,Brown,Medium,Medium,low,Good
2014,Chilli,Red,10,Sandy,Red,High,Low,low,Poor
2015,Tomato,Red,10,Sandy,Red,High,Low,low,Good
2016,Potato,Red,10,Sandy,Red,High,Low,low,Average
2017,Chilli,Alluvial,10,Loamy,Brown,Medium,Medium,low,Good
2018,Tomato,Alluvial,10,Loamy,Brown,Medium,Medium,low,Good
2019,Chilli,Red,7,Sandy,Red,High,Low,low,Poor
2020,Tomato,Red,7,Sandy,Red,High,Low,low,Good
2021,Potato,Red,7,Sandy,Red,High,Low,low,Average
2022,Chilli,Alluvial,7,Loamy,Brown,Medium,Medium,low,Good
2023,Tomato,Alluvial,7,Loamy,Brown,Medium,Medium,low,Good
2024,Chilli,Red,7,Sandy,Red,High,Low,low,Poor
2025,Tomato,Red,7,Sandy,Red,High,Low,low,Good
2026,Potato,Red,7,Sandy,Red,High,Low,low,Average
2027,Chilli,Alluvial,7,Loamy,Brown,Medium,Medium,low,Good
2028,Tomato,Alluvial,7,Loamy,Brown,Medium,Medium,low,Good
2029,Chilli,Red,7,Sandy,Red,High,Low,low,Poor
2030,Tomato,Red,7,Sandy,Red,High,Low,low,Good
2031,Potato,Red,7,Sandy,Red,High,Low,low,Average
2032,Chilli,Alluvial,7,Loamy,Brown,Medium,Medium,low,Good
2033,Tomato,Alluvial,7,Loamy,Brown,Medium,Medium,low,Good
2034,Chilli,Red,7,Sandy,Red,High,Low,low,Poor
2035,Tomato,Red,7,Sandy,Red,High,Low,low,Good
2036,Potato,Red,7,Sandy,Red,High,Low,low,Average
2037,Chilli,Alluvial,7,Loamy,Brown,Medium,Medium,low,Good
2038,Tomato,Alluvial,7,Loamy,Brown,Medium,Medium,low,Good
2039,Chilli,Red,7,Sandy,Red,High,Low,low,Poor
2040,Tomato,Red,7,Sandy,Red,High,Low,low,Good
2041,Potato,Red,7,Sandy,Red,High,Low,low,Average
2042,Chilli,Alluvial,7,Loamy,Brown,Medium,Medium,low,Good
2043,Tomato,Alluvial,7,Loamy,Brown,Medium,Medium,low,Good
2044,Chilli,Red,6,Sandy,Red,High,Low,low,Poor
2045,Tomato,Red,6,Sandy,Red,High,Low,low,Good
2046,Potato,Red,6,Sandy,Red,High,Low,low,Average
2047,Chilli,Alluvial,6,Loamy,Brown,Medium,Medium,low,Good
2048,Tomato,Alluvial,6,Loamy,Brown,Medium,Medium,low,Good
2049,Chilli,Red,6,Sandy,Red,High,Low,low,Poor
2050,Tomato,Red,6,Sandy,Red,High,Low,low,Good
2051,Potato,Red,6,Sandy,Red,High,Low,low,Average
2052,Chilli,Alluvial,6,Loamy,Brown,Medium,Medium,low,Good
2053,Tomato,Alluvial,6,Loamy,Brown,Medium,Medium,low,Good
2054,Chilli,Red,6,Sandy,Red,High,Low,low,Poor
2055,Tomato,Red,6,Sandy,Red,High,Low,low,Good
2056,Potato,Red,6,Sandy,Red,High,Low,low,Average
2057,Chilli,Alluvial,6,Loamy,Brown,Medium,Medium,low,Good
2058,Tomato,Alluvial,6,Loamy,Brown,Medium,Medium,low,Good
2059,Chilli,Red,6,Sandy,Red,High,Low,low,Poor
2060,Tomato,Red,6,Sandy,Red,High,Low,low,Good
2061,Potato,Red,6,Sandy,Red,High,Low,low,Average
2062,Chilli,Alluvial,6,Loamy,Brown,Medium,Medium,low,Good
2063,Tomato,Alluvial,6,Loamy,Brown,Medium,Medium,low,Good
2064,Chilli,Red,6,Sandy,Red,High,Low,low,Poor
2065,Tomato,Red,6,Sandy,Red,High,Low,low,Good
2066,Potato,Red,6,Sandy,Red,High,Low,low,Average
2067,Chilli,Alluvial,6,Loamy,Brown,Medium,Medium,low,Good
2068,Tomato,Alluvial,6,Loamy,Brown,Medium,Medium,low,Good
2069,Chilli,Red,6,Sandy,Red,High,Low,low,Poor
2070,Tomato,Red,6,Sandy,Red,High,Low,low,Good
2071,Potato,Red,6,Sandy,Red,High,Low,low,Average
2072,Chilli,Alluvial,6,Loamy,Brown,Medium,Medium,low,Good
2073,Tomato,Alluvial,6,Loamy,Brown,Medium,Medium,low,Good
2074,Chilli,Red,6,Sandy,Red,High,Low,low,Poor
2075,Tomato,Red,6,Sandy,Red,High,Low,low,Good
2076,Potato,Red,6,Sandy,Red,High,Low,low,Average
2077,Chilli,Alluvial,6,Loamy,Brown,Medium,Medium,low,Good
2078,Tomato,Alluvial,6,Loamy,Brown,Medium,Medium,low,Good
2079,Chilli,Red,6,Sandy,Red,High,Low,low,Poor
2080,Tomato,Red,6,Sandy,Red,High,Low,low,Good
2081,Potato,Red,6,Sandy,Red,High,Low,low,Average
2082,Chilli,Alluvial,6,Loamy,Brown,Medium,Medium,low,Good
2083,Tomato,Alluvial,6,Loamy,Brown,Medium,Medium,low,Good
2084,Chilli,Red,6,Sandy,Red,High,Low,low,Poor
2085,Tomato,Red,6,Sandy,Red,High,Low,low,Good
2086,Potato,Red,6,Sandy,Red,High,Low,low,Average
2087,Chilli,Alluvial,6,Loamy,Brown,Medium,Medium,low,Good
2088,Tomato,Alluvial,6,Loamy,Brown,Medium,Medium,low,Good
2089,Chilli,Red,6,Sandy,Red,High,Low,low,Poor
2090,Tomato,Red,6,Sandy,Red,High,Low,low,Good
2091,Potato,Red,6,Sandy,Red,High,Low,low,Average
2092,Chilli,Alluvial,6,Loamy,Brown,Medium,Medium,low,Good
2093,Tomato,Alluvial,6,Loamy,Brown,Medium,Medium,low,Good
2094,Chilli,Red,10,Sandy,Red,High,Low,low,Poor
2095,Tomato,Red,10,Sandy,Red,High,Low,low,Good
2096,Potato,Red,10,Sandy,Red,High,Low,low,Average
2097,Chilli,Alluvial,10,Loamy,Brown,Medium,Medium,low,Good
2098,Tomato,Alluvial,10,Loamy,Brown,Medium,Medium,low,Good
2099,Chilli,Red,10,Sandy,Red,High,Low,low,Poor
2100,Tomato,Red,10,Sandy,Red,High,Low,low,Good
2101,Potato,Red,10,Sandy,Red,High,Low,low,Average
2102,Chilli,Alluvial,10,Loamy,Brown,Medium,Medium,low,Good
2103,Tomato,Alluvial,10,Loamy,Brown,Medium,Medium,low,Good
2104,Chilli,Red,10,Sandy,Red,High,Low,low,Poor
2105,Tomato,Red,10,Sandy,Red,High,Low,low,Good
2106,Potato,Red,10,Sandy,Red,High,Low,low,Average
2107,Chilli,Alluvial,10,Loamy,Brown,Medium,Medium,low,Good
2108,Tomato,Alluvial,10,Loamy,Brown,Medium,Medium,low,Good
2109,Chilli,Red,10,Sandy,Red,High,Low,low,Poor
2110,Tomato,Red,10,Sandy,Red,High,Low,low,Good
2111,Potato,Red,10,Sandy,Red,High,Low,low,Average
2112,Chilli,Alluvial,10,Loamy,Brown,Medium,Medium,low,Good
2113,Tomato,Alluvial,10,Loamy,Brown,Medium,Medium,low,Good
2114,Chilli,Red,10,Sandy,Red,High,Low,low,Poor
2115,Tomato,Red,10,Sandy,Red,High,Low,low,Good
2116,Potato,Red,10,Sandy,Red,High,Low,low,Average
2117,Chilli,Alluvial,10,Loamy,Brown,Medium,Medium,low,Good
2118,Tomato,Alluvial,10,Loamy,Brown,Medium,Medium,low,Good
2119,Chilli,Red,12,Sandy,Red,High,Low,low,Poor
2120,Tomato,Red,12,Sandy,Red,High,Low,low,Good
2121,Potato,Red,12,Sandy,Red,High,Low,low,Average
2122,Chilli,Alluvial,12,Loamy,Brown,Medium,Medium,low,Good
2123,Tomato,Alluvial,12,Loamy,Brown,Medium,Medium,low,Good
2124,Chilli,Red,12,Sandy,Red,High,Low,low,Poor
2125,Tomato,Red,12,Sandy,Red,High,Low,low,Good
2126,Potato,Red,12,Sandy,Red,High,Low,low,Average
2127,Chilli,Alluvial,12,Loamy,Brown,Medium,Medium,low,Good
2128,Tomato,Alluvial,12,Loamy,Brown,Medium,Medium,low,Good
2129,Chilli,Red,12,Sandy,Red,High,Low,low,Poor
2130,Tomato,Red,12,Sandy,Red,High,Low,low,Good
2131,Potato,Red,12,Sandy,Red,High,Low,low,Average
2132,Chilli,Alluvial,12,Loamy,Brown,Medium,Medium,low,Good
2133,Tomato,Alluvial,12,Loamy,Brown,Medium,Medium,low,Good
2134,Chilli,Red,12,Sandy,Red,High,Low,low,Poor
2135,Tomato,Red,12,Sandy,Red,High,Low,low,Good
2136,Potato,Red,12,Sandy,Red,High,Low,low,Average
2137,Chilli,Alluvial,12,Loamy,Brown,Medium,Medium,low,Good
2138,Tomato,Alluvial,12,Loamy,Brown,Medium,Medium,low,Good
2139,Chilli,Red,12,Sandy,Red,High,Low,low,Poor
2140,Tomato,Red,12,Sandy,Red,High,Low,low,Good
2141,Potato,Red,12,Sandy,Red,High,Low,low,Average
2142,Chilli,Alluvial,12,Loamy,Brown,Medium,Medium,low,Good
2143,Tomato,Alluvial,12,Loamy,Brown,Medium,Medium,low,Good
2144,Chilli,Red,13,Sandy,Red,High,Low,low,Poor
2145,Tomato,Red,13,Sandy,Red,High,Low,low,Good
2146,Potato,Red,13,Sandy,Red,High,Low,low,Average
2147,Chilli,Alluvial,13,Loamy,Brown,Medium,Medium,low,Good
2148,Tomato,Alluvial,13,Loamy,Brown,Medium,Medium,low,Good
2149,Chilli,Red,13,Sandy,Red,High,Low,low,Poor
2150,Tomato,Red,13,Sandy,Red,High,Low,low,Good
2151,Potato,Red,13,Sandy,Red,High,Low,low,Average
2152,Chilli,Alluvial,13,Loamy,Brown,Medium,Medium,low,Good
2153,Tomato,Alluvial,13,Loamy,Brown,Medium,Medium,low,Good
2154,Chilli,Red,13,Sandy,Red,High,Low,low,Poor
2155,Tomato,Red,13,Sandy,Red,High,Low,low,Good
2156,Potato,Red,13,Sandy,Red,High,Low,low,Average
2157,Chilli,Alluvial,13,Loamy,Brown,Medium,Medium,low,Good
2158,Tomato,Alluvial,13,Loamy,Brown,Medium,Medium,low,Good
2159,Chilli,Red,13,Sandy,Red,High,Low,low,Poor
2160,Tomato,Red,13,Sandy,Red,High,Low,low,Good
2161,Potato,Red,13,Sandy,Red,High,Low,low,Average
2162,Chilli,Alluvial,13,Loamy,Brown,Medium,Medium,low,Good
2163,Tomato,Alluvial,13,Loamy,Brown,Medium,Medium,low,Good
2164,Chilli,Red,13,Sandy,Red,High,Low,low,Poor
2165,Tomato,Red,13,Sandy,Red,High,Low,low,Good
2166,Potato,Red,13,Sandy,Red,High,Low,low,Average
2167,Chilli,Alluvial,13,Loamy,Brown,Medium,Medium,low,Good
2168,Tomato,Alluvial,13,Loamy,Brown,Medium,Medium,low,Good
2169,Chilli,Red,15,Sandy,Red,High,Low,low,Poor
