Crop,Soil,Temperature,Soil Texture,Soil Colour,Drainage,Water holding capacity,Sunlight,Yield
Potato,Red,36,Sandy,Red,High,Low,low,Average
Chilli,Alluvial,37,Loamy,Brown,Medium,Medium,low,Good
Tomato,Alluvial,38,Loamy,Brown,Medium,Medium,low,Good
Chilli,Red,37,Sandy,Red,High,Low,low,Poor
Tomato,Red,37,Sandy,Red,High,Low,low,Good
Potato,Red,37,Sandy,Red,High,Low,low,Average
Chilli,Alluvial,39,Loamy,Brown,Medium,Medium,low,Good
Tomato,Alluvial,38,Loamy,Brown,Medium,Medium,low,Good
Chilli,Red,36,Sandy,Red,High,Low,low,Poor
Tomato,Red,36,Sandy,Red,High,Low,low,Good
Potato,Red,36,Sandy,Red,High,Low,low,Average
Chilli,Alluvial,37,Loamy,Brown,Medium,Medium,low,Good
Tomato,Alluvial,37,Loamy,Brown,Medium,Medium,low,Good
Chilli,Red,37,Sandy,Red,High,Low,low,Poor
Tomato,Red,38,Sandy,Red,High,Low,low,Good
Potato,Red,39,Sandy,Red,High,Low,low,Average
Chilli,Alluvial,37,Loamy,Brown,Medium,Medium,low,Good
Tomato,Alluvial,38,Loamy,Brown,Medium,Medium,low,Good
Chilli,Red,35,Sandy,Red,High,Low,low,Poor
Tomato,Red,36,Sandy,Red,High,Low,low,Good
Potato,Red,37,Sandy,Red,High,Low,low,Average
Chilli,Alluvial,38,Loamy,Brown,Medium,Medium,low,Good
Tomato,Alluvial,37,Loamy,Brown,Medium,Medium,low,Good
Chilli,Red,37,Sandy,Red,High,Low,low,Poor
Tomato,Red,37,Sandy,Red,High,Low,low,Good
Potato,Red,37,Sandy,Red,High,Low,low,Average
Chilli,Alluvial,38,Loamy,Brown,Medium,Medium,low,Good
Tomato,Alluvial,39,Loamy,Brown,Medium,Medium,low,Good
Chilli,Red,36,Sandy,Red,High,Low,low,Poor
Tomato,Red,36,Sandy,Red,High,Low,low,Good
Potato,Red,37,Sandy,Red,High,Low,low,Average
Chilli,Alluvial,38,Loamy,Brown,Medium,Medium,low,Good
Tomato,Alluvial,36,Loamy,Brown,Medium,Medium,low,Good
Chilli,Red,36,Sandy,Red,High,Low,low,Poor
Tomato,Red,37,Sandy,Red,High,Low,low,Good
Potato,Red,35,Sandy,Red,High,Low,low,Average
Chilli,Alluvial,37,Loamy,Brown,Medium,Medium,low,Good
Tomato,Alluvial,38,Loamy,Brown,Medium,Medium,low,Good
Chilli,Red,36,Sandy,Red,High,Low,low,Poor
Tomato,Red,36,Sandy,Red,High,Low,low,Good
Potato,Red,37,Sandy,Red,High,Low,low,Average
Chilli,Alluvial,38,Loamy,Brown,Medium,Medium,low,Good
Tomato,Alluvial,37,Loamy,Brown,Medium,Medium,low,Good
Chilli,Red,37,Sandy,Red,High,Low,low,Poor
Tomato,Red,37,Sandy,Red,High,Low,low,Good
Potato,Red,38,Sandy,Red,High,Low,low,Average
Chilli,Alluvial,39,Loamy,Brown,Medium,Medium,low,Good
Tomato,Alluvial,38,Loamy,Brown,Medium,Medium,low,Good
Chilli,Red,37,Sandy,Red,High,Low,low,Poor
Tomato,Red,37,Sandy,Red,High,Low,low,Good
Potato,Red,38,Sandy,Red,High,Low,low,Average
Chilli,Alluvial,36,Loamy,Brown,Medium,Medium,low,Good
Tomato,Alluvial,37,Loamy,Brown,Medium,Medium,low,Good
Chilli,Red,37,Sandy,Red,High,Low,low,Poor
Tomato,Red,36,Sandy,Red,High,Low,low,Good
Potato,Red,38,Sandy,Red,High,Low,low,Average
Chilli,Alluvial,37,Loamy,Brown,Medium,Medium,low,Good
Tomato,Alluvial,38,Loamy,Brown,Medium,Medium,low,Good
Chilli,Red,37,Sandy,Red,High,Low,low,Poor
Tomato,Red,37,Sandy,Red,High,Low,low,Good
Potato,Red,38,Sandy,Red,High,Low,low,Average
Chilli,Alluvial,36,Loamy,Brown,Medium,Medium,low,Good
Tomato,Alluvial,36,Loamy,Brown,Medium,Medium,low,Good
Chilli,Red,37,Sandy,Red,High,Low,low,Poor
Tomato,Red,37,Sandy,Red,High,Low,low,Good
Potato,Red,38,Sandy,Red,High,Low,low,Average
Chilli,Alluvial,36,Loamy,Brown,Medium,Medium,low,Good
Tomato,Alluvial,36,Loamy,Brown,Medium,Medium,low,Good
Chilli,Red,37,Sandy,Red,High,Low,low,Poor
Tomato,Red,37,Sandy,Red,High,Low,low,Good
Potato,Red,37,Sandy,Red,High,Low,low,Average
Chilli,Alluvial,38,Loamy,Brown,Medium,Medium,low,Good
Tomato,Alluvial,38,Loamy,Brown,Medium,Medium,low,Good
Chilli,Red,37,Sandy,Red,High,Low,low,Poor
Tomato,Red,37,Sandy,Red,High,Low,low,Good
Potato,Red,38,Sandy,Red,High,Low,low,Average
Chilli,Alluvial,37,Loamy,Brown,Medium,Medium,low,Good
Tomato,Alluvial,36,Loamy,Brown,Medium,Medium,low,Good
Chilli,Red,36,Sandy,Red,High,Low,low,Poor
Tomato,Red,37,Sandy,Red,High,Low,low,Good
Potato,Red,37,Sandy,Red,High,Low,low,Average
Chilli,Alluvial,36,Loamy,Brown,Medium,Medium,low,Good
Tomato,Alluvial,37,Loamy,Brown,Medium,Medium,low,Good
Chilli,Red,36,Sandy,Red,High,Low,low,Poor
Tomato,Red,36,Sandy,Red,High,Low,low,Good
Potato,Red,36,Sandy,Red,High,Low,low,Average
Chilli,Alluvial,37,Loamy,Brown,Medium,Medium,low,Good
Tomato,Alluvial,38,Loamy,Brown,Medium,Medium,low,Good
Chilli,Red,38,Sandy,Red,High,Low,low,Poor
Tomato,Red,38,Sandy,Red,High,Low,low,Good
Potato,Red,37,Sandy,Red,High,Low,low,Average
Chilli,Alluvial,36,Loamy,Brown,Medium,Medium,low,Good
Tomato,Alluvial,36,Loamy,Brown,Medium,Medium,low,Good
Chilli,Red,36,Sandy,Red,High,Low,low,Poor
Tomato,Red,36,Sandy,Red,High,Low,low,Good
Potato,Red,36,Sandy,Red,High,Low,low,Average
Chilli,Alluvial,38,Loamy,Brown,Medium,Medium,low,Good
Tomato,Alluvial,38,Loamy,Brown,Medium,Medium,low,Good
Chilli,Red,36,Sandy,Red,High,Low,low,Poor
Tomato,Red,36,Sandy,Red,High,Low,low,Good
Potato,Red,36,Sandy,Red,High,Low,low,Average
Chilli,Alluvial,36,Loamy,Brown,Medium,Medium,low,Good
Tomato,Alluvial,37,Loamy,Brown,Medium,Medium,low,Good
Chilli,Red,36,Sandy,Red,High,Low,low,Poor
Tomato,Red,37,Sandy,Red,High,Low,low,Good
Potato,Red,36,Sandy,Red,High,Low,low,Average
Chilli,Alluvial,37,Loamy,Brown,Medium,Medium,low,Good
Tomato,Alluvial,38,Loamy,Brown,Medium,Medium,low,Good
Chilli,Red,36,Sandy,Red,High,Low,low,Poor
Tomato,Red,36,Sandy,Red,High,Low,low,Good
Potato,Red,36,Sandy,Red,High,Low,low,Average
Chilli,Alluvial,37,Loamy,Brown,Medium,Medium,low,Good
Tomato,Alluvial,38,Loamy,Brown,Medium,Medium,low,Good
Chilli,Red,36,Sandy,Red,High,Low,low,Poor
Tomato,Red,36,Sandy,Red,High,Low,low,Good
Potato,Red,36,Sandy,Red,High,Low,low,Average
Chilli,Alluvial,38,Loamy,Brown,Medium,Medium,low,Good
Tomato,Alluvial,38,Loamy,Brown,Medium,Medium,low,Good
Chilli,Red,37,Sandy,Red,High,Low,low,Poor
Tomato,Red,36,Sandy,Red,High,Low,low,Good
Potato,Red,36,Sandy,Red,High,Low,low,Average
Chilli,Alluvial,36,Loamy,Brown,Medium,Medium,low,Good
Tomato,Alluvial,36,Loamy,Brown,Medium,Medium,low,Good
Chilli,Red,36,Sandy,Red,High,Low,low,Poor
Tomato,Red,36,Sandy,Red,High,Low,low,Good
Potato,Red,37,Sandy,Red,High,Low,low,Average
Chilli,Alluvial,38,Loamy,Brown,Medium,Medium,low,Good
Tomato,Alluvial,36,Loamy,Brown,Medium,Medium,low,Good
Chilli,Red,34,Sandy,Red,High,Low,low,Poor
Tomato,Red,35,Sandy,Red,High,Low,low,Good
Potato,Red,34,Sandy,Red,High,Low,low,Average
Chilli,Alluvial,36,Loamy,Brown,Medium,Medium,low,Good
Tomato,Alluvial,37,Loamy,Brown,Medium,Medium,low,Good
Chilli,Red,34,Sandy,Red,High,Low,low,Poor
Tomato,Red,34,Sandy,Red,High,Low,low,Good
Potato,Red,34,Sandy,Red,High,Low,low,Average
Chilli,Alluvial,36,Loamy,Brown,Medium,Medium,low,Good
Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,low,Good
Chilli,Red,34,Sandy,Red,High,Low,low,Poor
Tomato,Red,35,Sandy,Red,High,Low,low,Good
Potato,Red,35,Sandy,Red,High,Low,low,Average
Chilli,Alluvial,34,Loamy,Brown,Medium,Medium,low,Good
Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,low,Good
Chilli,Red,36,Sandy,Red,High,Low,low,Poor
Tomato,Red,36,Sandy,Red,High,Low,low,Good
Potato,Red,33,Sandy,Red,High,Low,low,Average
Chilli,Alluvial,34,Loamy,Brown,Medium,Medium,low,Good
Tomato,Alluvial,34,Loamy,Brown,Medium,Medium,low,Good
Chilli,Red,35,Sandy,Red,High,Low,low,Poor
Tomato,Red,34,Sandy,Red,High,Low,low,Good
Potato,Red,36,Sandy,Red,High,Low,low,Average
Chilli,Alluvial,34,Loamy,Brown,Medium,Medium,low,Good
Tomato,Alluvial,34,Loamy,Brown,Medium,Medium,low,Good
Chilli,Red,35,Sandy,Red,High,Low,low,Poor
Tomato,Red,35,Sandy,Red,High,Low,low,Good
Potato,Red,34,Sandy,Red,High,Low,low,Average
Chilli,Alluvial,35,Loamy,Brown,Medium,Medium,low,Good
Tomato,Alluvial,34,Loamy,Brown,Medium,Medium,low,Good
Chilli,Red,35,Sandy,Red,High,Low,low,Poor
Tomato,Red,34,Sandy,Red,High,Low,low,Good
Potato,Red,34,Sandy,Red,High,Low,low,Average
Chilli,Alluvial,33,Loamy,Brown,Medium,Medium,low,Good
Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,low,Good
Chilli,Red,33,Sandy,Red,High,Low,low,Poor
Tomato,Red,33,Sandy,Red,High,Low,low,Good
Potato,Red,34,Sandy,Red,High,Low,low,Average
Chilli,Alluvial,35,Loamy,Brown,Medium,Medium,low,Good
Tomato,Alluvial,34,Loamy,Brown,Medium,Medium,low,Good
Chilli,Red,35,Sandy,Red,High,Low,low,Poor
Tomato,Red,35,Sandy,Red,High,Low,low,Good
Potato,Red,36,Sandy,Red,High,Low,low,Average
Chilli,Alluvial,36,Loamy,Brown,Medium,Medium,low,Good
Tomato,Alluvial,36,Loamy,Brown,Medium,Medium,low,Good
Chilli,Red,34,Sandy,Red,High,Low,low,Poor
Tomato,Red,35,Sandy,Red,High,Low,low,Good
Potato,Red,36,Sandy,Red,High,Low,low,Average
Chilli,Alluvial,35,Loamy,Brown,Medium,Medium,low,Good
Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,low,Good
Chilli,Red,36,Sandy,Red,High,Low,low,Poor
Tomato,Red,37,Sandy,Red,High,Low,low,Good
Potato,Red,36,Sandy,Red,High,Low,low,Average
Chilli,Alluvial,35,Loamy,Brown,Medium,Medium,low,Good
Tomato,Alluvial,36,Loamy,Brown,Medium,Medium,low,Good
Chilli,Red,36,Sandy,Red,High,Low,low,Poor
Tomato,Red,36,Sandy,Red,High,Low,low,Good
Potato,Red,37,Sandy,Red,High,Low,low,Average
Chilli,Alluvial,35,Loamy,Brown,Medium,Medium,low,Good
Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,low,Good
Chilli,Red,35,Sandy,Red,High,Low,low,Poor
Tomato,Red,36,Sandy,Red,High,Low,low,Good
Potato,Red,36,Sandy,Red,High,Low,low,Average
Chilli,Alluvial,37,Loamy,Brown,Medium,Medium,low,Good
Tomato,Alluvial,36,Loamy,Brown,Medium,Medium,low,Good
Chilli,Red,36,Sandy,Red,High,Low,low,Poor
Tomato,Red,35,Sandy,Red,High,Low,low,Good
Potato,Red,36,Sandy,Red,High,Low,low,Average
Chilli,Alluvial,37,Loamy,Brown,Medium,Medium,low,Good
Tomato,Alluvial,38,Loamy,Brown,Medium,Medium,low,Good
Chilli,Red,36,Sandy,Red,High,Low,low,Poor
Tomato,Red,36,Sandy,Red,High,Low,low,Good
Potato,Red,37,Sandy,Red,High,Low,low,Average
Chilli,Alluvial,38,Loamy,Brown,Medium,Medium,low,Good
Tomato,Alluvial,37,Loamy,Brown,Medium,Medium,low,Good
Chilli,Red,36,Sandy,Red,High,Low,low,Poor
Tomato,Red,36,Sandy,Red,High,Low,low,Good
Potato,Red,37,Sandy,Red,High,Low,low,Average
Chilli,Alluvial,38,Loamy,Brown,Medium,Medium,low,Good
Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,low,Good
Chilli,Red,36,Sandy,Red,High,Low,low,Poor
Tomato,Red,37,Sandy,Red,High,Low,low,Good
Potato,Red,38,Sandy,Red,High,Low,low,Average
Chilli,Alluvial,36,Loamy,Brown,Medium,Medium,low,Good
Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,low,Good
Chilli,Red,37,Sandy,Red,High,Low,low,Poor
Tomato,Red,35,Sandy,Red,High,Low,low,Good
Potato,Red,35,Sandy,Red,High,Low,low,Average
Chilli,Alluvial,35,Loamy,Brown,Medium,Medium,low,Good
Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,low,Good
Chilli,Red,36,Sandy,Red,High,Low,low,Poor
Tomato,Red,35,Sandy,Red,High,Low,low,Good
Potato,Red,37,Sandy,Red,High,Low,low,Average
Chilli,Alluvial,38,Loamy,Brown,Medium,Medium,low,Good
Tomato,Alluvial,33,Loamy,Brown,Medium,Medium,low,Good
Chilli,Red,34,Sandy,Red,High,Low,low,Poor
Tomato,Red,34,Sandy,Red,High,Low,low,Good
Potato,Red,35,Sandy,Red,High,Low,low,Average
Chilli,Alluvial,36,Loamy,Brown,Medium,Medium,low,Good
Tomato,Alluvial,31,Loamy,Brown,Medium,Medium,low,Good
Chilli,Black,31,Clayey,Black,Low,High,low,Average
Tomato,Black,31,Clayey,Black,Low,High,low,Good
Potato,Black,33,Clayey,Black,Low,High,low,Poor
Potato,Alluvial,33,Loamy,Brown,Medium,Medium,low,Poor
Chilli,Black,36,Clayey,Black,Low,High,low,average
Tomato,Black,36,Clayey,Black,Low,High,low,Good
Potato,Black,36,Clayey,Black,Low,High,low,Poor
Potato,Alluvial,36,Loamy,Brown,Medium,Medium,low,Poor
Chilli,Black,33,Clayey,Black,Low,High,low-,Average
Tomato,Black,33,Clayey,Black,Low,High,low-,Good
Potato,Black,33,Clayey,Black,Low,High,low-,Poor
Potato,Alluvial,33,Loamy,Brown,Medium,Medium,nor-,Poor
Chilli,Black,27,Clayey,Black,Low,High,nor-,Average
Tomato,Black,27,Clayey,Black,Low,High,nor-,Good
Potato,Black,27,Clayey,Black,Low,High,low,Poor
Potato,Alluvial,27,Loamy,Brown,Medium,Medium,low,Poor
Chilli,Black,27,Clayey,Black,Low,High,low,average
Tomato,Black,27,Clayey,Black,Low,High,low-,Good
Potato,Black,27,Clayey,Black,Low,High,low-,Poor
Potato,Alluvial,27,Loamy,Brown,Medium,Medium,low-,Poor
Chilli,Black,28,Clayey,Black,Low,High,low,Average
Tomato,Black,28,Clayey,Black,Low,High,low,Good
Potato,Black,28,Clayey,Black,Low,High,low,poor
Potato,Alluvial,28,Loamy,Brown,Medium,Medium,low,Poor
Chilli,Black,28,Clayey,Black,Low,High,low,Average
Tomato,Black,28,Clayey,Black,Low,High,low,Good
Potato,Black,28,Clayey,Black,Low,High,low,Poor
Potato,Alluvial,26,Loamy,Brown,Medium,Medium,nor-,Poor
Chilli,Black,26,Clayey,Black,Low,High,nor-,average
Tomato,Black,26,Clayey,Black,Low,High,nor-,Good
Potato,Black,26,Clayey,Black,Low,High,nor-,Poor
Potato,Alluvial,26,Loamy,Brown,Medium,Medium,nor-,poor
Chilli,Black,30,Clayey,Black,Low,High,nor,Average
Tomato,Black,30,Clayey,Black,Low,High,nor,Good
Potato,Black,30,Clayey,Black,Low,High,nor,poor
Potato,Alluvial,30,Loamy,Brown,Medium,Medium,nor,Poor
Chilli,Black,30,Clayey,Black,Low,High,low,Average
Tomato,Black,30,Clayey,Black,Low,High,low,Good
Potato,Black,30,Clayey,Black,Low,High,nor,Poor
Potato,Alluvial,32,Loamy,Brown,Medium,Medium,nor,Poor
Chilli,Black,33,Clayey,Black,Low,High,low-,average
Tomato,Black,33,Clayey,Black,Low,High,low-,Good
Potato,Black,33,Clayey,Black,Low,High,low-,Poor
Potato,Alluvial,33,Loamy,Brown,Medium,Medium,low-,Poor
Chilli,Black,25,Clayey,Black,Low,High,low-,Poor
Tomato,Black,24,Clayey,Black,Low,High,low-,Good
Potato,Black,25,Clayey,Black,Low,High,low-,Poor
Potato,Alluvial,25,Loamy,Brown,Medium,Medium,low-,Average
Potato,Black,25,Clayey,Black,Low,High,low-,average
Chilli,Black,25,Clayey,Black,Low,High,low-,Poor
Tomato,Black,30,Clayey,Black,Low,High,low-,Poor
Potato,Alluvial,30,Loamy,Brown,Medium,Medium,low-,Poor
Potato,Black,30,Clayey,Black,Low,High,HGH,average
Chilli,Black,30,Clayey,Black,Low,High,HGH,Good
Tomato,Black,30,Clayey,Black,Low,High,HGH,Good
Potato,Alluvial,30,Loamy,Brown,Medium,Medium,HGH,Poor
Potato,Black,34,Clayey,Black,Low,High,low,Average
Chilli,Black,34,Clayey,Black,Low,High,low,average
Tomato,Black,34,Clayey,Black,Low,High,low,Poor
Potato,Alluvial,34,Loamy,Brown,Medium,Medium,low,Poor
Potato,Black,34,Clayey,Black,Low,High,low,average
Chilli,Black,26,Clayey,Black,Low,High,nor-,Poor
Tomato,Black,26,Clayey,Black,Low,High,nor-,average
Potato,Alluvial,26,Loamy,Brown,Medium,Medium,nor-,Poor
Potato,Black,26,Clayey,Black,Low,High,nor-,average
Chilli,Black,31,Clayey,Black,Low,High,low,Average
Tomato,Black,31,Clayey,Black,Low,High,low,Good
Potato,Alluvial,33,Loamy,Brown,Medium,Medium,low,Poor
Potato,Black,33,Clayey,Black,Low,High,low,Poor
Chilli,Black,36,Clayey,Black,Low,High,low,average
Tomato,Black,36,Clayey,Black,Low,High,low,Good
Potato,Alluvial,36,Loamy,Brown,Medium,Medium,low,Poor
Potato,Black,36,Clayey,Black,Low,High,low,poor
Chilli,Black,27,Clayey,Black,Low,High,low-,poor
Tomato,Black,28,Clayey,Black,Low,High,low,Average
Potato,Alluvial,28,Loamy,Brown,Medium,Medium,low,Good
Potato,Black,28,Clayey,Black,Low,High,low,poor
Chilli,Black,28,Clayey,Black,Low,High,low,Poor
Tomato,Black,28,Clayey,Black,Low,High,low,Average
Potato,Alluvial,28,Loamy,Brown,Medium,Medium,low,Good
Potato,Black,28,Clayey,Black,Low,High,low,Poor
Chilli,Black,26,Clayey,Black,Low,High,nor-,Poor
Tomato,Black,26,Clayey,Black,Low,High,nor-,average
Potato,Black,26,Clayey,Brown,Medium,Medium,nor-,Good
Potato,Alluvial,26,Loamy,Black,Low,High,nor-,Poor
Chilli,Black,26,Clayey,Black,Low,High,nor-,Average
Tomato,Black,30,Clayey,Black,Low,High,nor,Good
Potato,Black,30,Clayey,Black,Low,High,nor,Poor
Potato,Alluvial,28,Loamy,Brown,Medium,Medium,nor,Poor
Chilli,Black,28,Clayey,Black,Low,High,low,Average
Tomato,Black,28,Clayey,Black,Low,High,low,Good
Potato,Black,28,Clayey,Black,Low,High,low,Poor
Potato,Alluvial,28,Loamy,Brown,Medium,Medium,low,Poor
Potato,Black,28,Clayey,Black,Low,High,low,Poor
Chilli,Black,35,Clayey,Black,Low,High,low-,Average
Tomato,Black,35,Clayey,Black,Low,High,low-,Good
Potato,Alluvial,35,Loamy,Brown,Medium,Medium,low-,Poor
Potato,Black,35,Clayey,Black,Low,High,low-,Poor
Chilli,Black,33,Clayey,Black,Low,High,low-,Average
Tomato,Black,33,Clayey,Black,Low,High,low-,Good
Potato,Alluvial,33,Loamy,Brown,Medium,Medium,low-,Poor
Potato,Black,33,Clayey,Black,Low,High,low-,Poor
Chilli,Black,33,Clayey,Black,Low,High,HGH,Good
Tomato,Black,33,Clayey,Black,Low,High,HGH,poor
Potato,Alluvial,33,Loamy,Brown,Medium,Medium,HGH,Poor
Potato,Black,33,Clayey,Black,Low,High,HGH,Average
Chilli,Black,31,Clayey,Black,Low,High,HGH,Good
Tomato,Black,31,Clayey,Black,Low,High,HGH,poor
Potato,Alluvial,31,Loamy,Brown,Medium,Medium,HGH,Poor
Potato,Black,31,Clayey,Black,Low,High,HGH,Average
Chilli,Black,33,Clayey,Black,Low,High,low,Average
Tomato,Black,33,Clayey,Black,Low,High,low,Good
Potato,Alluvial,33,Loamy,Brown,Medium,Medium,low,Poor
Potato,Black,33,Clayey,Black,Low,High,low,Poor
Chilli,Black,36,Clayey,Black,Low,High,low,average
Tomato,Black,36,Clayey,Black,Low,High,low,Good
Potato,Alluvial,36,Loamy,Brown,Medium,Medium,low,Poor
Potato,Black,36,Clayey,Black,Low,High,low,poor
Chilli,Black,34,Clayey,Black,Low,High,HGH,Average
Tomato,Black,34,Clayey,Black,Low,High,HGH,Good
Potato,Alluvial,34,Loamy,Brown,Medium,Medium,HGH,Poor
Potato,Black,34,Clayey,Black,Low,High,HGH,Poor
Chilli,Black,28,Clayey,Black,Low,High,low,average
Tomato,Black,28,Clayey,Black,Low,High,low,Good
Potato,Alluvial,28,Loamy,Brown,Medium,Medium,low,Poor
Potato,Black,36,Clayey,Black,Low,High,low,Poor
Chilli,Black,27,Clayey,Black,Low,High,low,Average
Tomato,Black,27,Clayey,Black,Low,High,low,Good
Potato,Alluvial,27,Loamy,Brown,Medium,Medium,low,Poor
Potato,Black,27,Clayey,Black,Low,High,low,Poor
Chilli,Black,27,Clayey,Black,Low,High,low-,poor
Tomato,Black,28,Clayey,Black,Low,High,low,Average
Potato,Alluvial,28,Loamy,Brown,Medium,Medium,low,Good
Potato,Black,28,Clayey,Black,Low,High,low,poor
Chilli,Black,28,Clayey,Black,Low,High,low,Poor
Tomato,Black,28,Clayey,Black,Low,High,low,Average
Potato,Alluvial,28,Loamy,Brown,Medium,Medium,low,Good
Potato,Black,28,Clayey,Black,Low,High,low,Poor
Chilli,Black,26,Clayey,Black,Low,High,nor-,Poor
Tomato,Black,26,Clayey,Black,Low,High,nor-,average
Potato,Alluvial,26,Loamy,Brown,Medium,Medium,nor-,Good
Potato,Black,26,Clayey,Black,Low,High,nor-,Poor
Chilli,Black,30,Clayey,Black,Low,High,nor-,poor
Tomato,Black,30,Clayey,Black,Low,High,nor,Average
Potato,Alluvial,30,Loamy,Brown,Medium,Medium,nor+,Poor
Potato,Black,38,Clayey,Black,Low,High,nor+,Poor
Chilli,Black,38,Clayey,Black,Low,High,nor+,average
Tomato,Black,38,Clayey,Black,Low,High,low,Good
Potato,Alluvial,38,Loamy,Brown,Medium,Medium,low,Poor
Potato,Black,38,Clayey,Black,Low,High,low,poor
Chilli,Black,29,Clayey,Black,Low,High,low,Average
Tomato,Black,20,Clayey,Black,Low,High,low,Good
Potato,Alluvial,29,Loamy,Brown,Medium,Medium,low,poor
Potato,Black,29,Clayey,Black,Low,High,low,Poor
Chilli,Black,33,Clayey,Black,Low,High,low-,Average
Tomato,Black,33,Clayey,Black,Low,High,low-,Good
Potato,Alluvial,33,Loamy,Brown,Medium,Medium,low-,poor
Potato,Black,33,Clayey,Black,Low,High,low-,Poor
Chilli,Black,25,Clayey,Black,Low,High,low,Average
Tomato,Black,25,Clayey,Black,Low,High,low-,Good
Potato,Alluvial,25,Loamy,Brown,Medium,Medium,low,poor
Potato,Black,25,Clayey,Black,Low,High,low-,Poor
Chilli,Black,27,Clayey,Black,Low,High,low-,Average
Tomato,Black,27,Clayey,Black,Low,High,nor,Good
Potato,Black,27,Clayey,Black,Low,High,low,poor
Potato,Alluvial,27,Loamy,Brown,Medium,Medium,low,Poor
Chilli,Black,40,Clayey,Black,Low,High,low,Good
Tomato,Black,40,Clayey,Black,Low,High,low,Good
Potato,Black,40,Clayey,Black,Low,High,low,Poor
Potato,Alluvial,40,Loamy,Brown,Medium,Medium,low,Poor
Chilli,Black,38,Clayey,Black,Low,High,HGH,Good
Tomato,Black,38,Clayey,Black,Low,High,HGH,Good
Potato,Black,38,Clayey,Black,Low,High,HGH,Poor
Potato,Alluvial,38,Loamy,Brown,Medium,Medium,HGH,Good
Chilli,Black,31,Clayey,Black,Low,High,low,poor
Tomato,Black,31,Clayey,Black,Low,High,low,Poor
Potato,Black,31,Clayey,Black,Low,High,low,Average
Potato,Alluvial,31,Loamy,Brown,Medium,Medium,low,Poor
Chilli,Black,31,Clayey,Black,Low,High,low,Good
Tomato,Black,31,Clayey,Black,Low,High,low,Good
Potato,Black,33,Clayey,Black,Low,High,low,Poor
Potato,Alluvial,33,Loamy,Brown,Medium,Medium,low-,Average
Chilli,Black,36,Clayey,Black,Low,High,low-,average
Tomato,Black,36,Clayey,Black,Low,High,low,Good
Potato,Black,36,Clayey,Black,Low,High,low-,Poor
Potato,Alluvial,36,Loamy,Brown,Medium,Medium,low,poor
Chilli,Black,33,Clayey,Black,Low,High,low-,Average
Tomato,Black,33,Clayey,Black,Low,High,low-,Good
Potato,Black,33,Clayey,Black,Low,High,low-,poor
Potato,Alluvial,33,Loamy,Brown,Medium,Medium,low-,Poor
Chilli,Black,26,Clayey,Black,Low,High,nor-,Poor
Tomato,Black,26,Clayey,Black,Low,High,nor-,average
Potato,Black,26,Clayey,Black,Low,High,nor-,Good
Potato,Alluvial,26,Loamy,Brown,Medium,Medium,nor-,Poor
Chilli,Black,26,Clayey,Black,Low,High,nor-,Poor 
Tomato,Black,30,Clayey,Black,Low,High,nor,poor
Potato,Black,30,Clayey,Black,Low,High,nor,Poor
Potato,Alluvial,30,Loamy,Brown,Medium,Medium,low,Average
Chilli,Black,30,Clayey,Black,Low,High,low,Good
Tomato,Black,30,Clayey,Black,Low,High,nor,Poor
Potato,Black,32,Clayey,Black,Low,High,nor,Poor
Potato,Alluvial,33,Loamy,Brown,Medium,Medium,low-,average
Chilli,Black,33,Clayey,Black,Low,High,low-,Good
Tomato,Black,33,Clayey,Black,Low,High,low-,Poor
Potato,Black,33,Clayey,Black,Low,High,low-,Poor
Potato,Alluvial,25,Loamy,Brown,Medium,Medium,HGH,average
Chilli,Black,25,Clayey,Black,Low,High,HGH,Good
Tomato,Black,25,Clayey,Black,Low,High,HGH,Poor
Potato,Black,25,Clayey,Black,Low,High,HGH,Poor
Potato,Alluvial,25,Loamy,Brown,Medium,Medium,low,average
Chilli,Black,27,Clayey,Black,Low,High,low,Average
Tomato,Black,27,Clayey,Black,Low,High,low,Good
Potato,Black,27,Clayey,Black,Low,High,low,Poor
Potato,Alluvial,27,Loamy,Brown,Medium,Medium,low,Poor
Chilli,Black,26,Clayey,Black,Low,High,nor-,Poor
Tomato,Black,26,Clayey,Black,Low,High,nor-,average
Potato,Black,26,Clayey,Black,Low,High,nor-,Good
Potato,Alluvial,26,Loamy,Brown,Medium,Medium,nor-,Poor
Chilli,Black,26,Clayey,Black,Low,High,nor-,Good
Chilli,Red,13,Sandy,Red,High,Low,low,Poor
Tomato,Red,13,Sandy,Red,High,Low,low,Good
Potato,Red,13,Sandy,Red,High,Low,low,Average
Chilli,Alluvial,13,Loamy,Brown,Medium,Medium,low,Good
Tomato,Alluvial,13,Loamy,Brown,Medium,Medium,low,Good
Chilli,Red,13,Sandy,Red,High,Low,low,Poor
Tomato,Red,13,Sandy,Red,High,Low,low,Good
Potato,Red,13,Sandy,Red,High,Low,low,Average
Chilli,Alluvial,13,Loamy,Brown,Medium,Medium,low,Good
